name,ttm,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015
EndCashPosition,"13,188,000,000","10,151,000,000","10,240,000,000","13,942,000,000","9,474,000,000","6,576,000,000","5,398,000,000"
	ChangesInCash,"3,479,000,000","1,000,000","-3,949,000,000","4,293,000,000","2,874,000,000","1,345,000,000","-898,000,000"
	EffectOfExchangeRateChanges,"-190,000,000","-90,000,000","-189,000,000","175,000,000","24,000,000","-167,000,000","-153,000,000"
	BeginningCashPosition,"9,709,000,000","10,240,000,000","14,378,000,000","9,474,000,000","6,576,000,000","5,398,000,000","6,449,000,000"
IncomeTaxPaidSupplementalData,,"1,414,000,000","747,000,000","924,000,000","978,000,000","264,000,000","557,000,000"
InterestPaidSupplementalData,,"2,500,000,000","2,347,000,000","2,192,000,000","1,575,000,000","585,000,000","724,000,000"
CapitalExpenditure,"-2,419,000,000","-2,576,000,000","-1,497,000,000","-1,581,000,000","-906,000,000","-482,000,000","-478,000,000"
IssuanceOfCapitalStock,"640,000,000","658,000,000","803,000,000","131,000,000","4,586,000,000","0","28,000,000"
IssuanceOfDebt,"21,053,000,000","20,481,000,000","13,045,000,000","14,439,000,000","46,893,000,000","5,460,000,000","2,936,000,000"
RepaymentOfDebt,"-17,953,000,000","-22,117,000,000","-11,451,000,000","-12,321,000,000","-16,960,000,000","-5,950,000,000","-6,053,000,000"
RepurchaseOfCapitalStock,"-3,284,000,000","-3,553,000,000","-14,490,000,000","-1,838,000,000","-1,322,000,000","-2,000,000","0"
FreeCashFlow,"5,394,000,000","6,715,000,000","5,494,000,000","5,229,000,000","1,316,000,000","1,680,000,000","2,073,000,000"
