name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
PretaxIncome,"2,677,000,000","2,207,000,000","2,718,000,000","2,276,000,000","3,651,000,000","2,406,000,000","3,531,000,000","3,466,000,000","3,084,000,000","3,910,046,000","2,098,447,000","2,879,151,000","2,183,564,000","750,851,000","1,547,061,000","1,549,377,000","1,128,230,000","661,500,000","398,133,000","162,943,000","81,017,000","20,200,000","7,000,000","1,600,000"
TaxProvision,"576,000,000","415,000,000","190,000,000","3,288,000,000","-3,634,000,000","459,000,000","3,485,000,000","610,000,000","475,000,000","680,659,000","297,486,000","490,054,000","404,090,000","402,600,000","421,418,000","467,285,000","343,885,000","206,738,000","145,946,000","80,009,000","32,725,000","9,400,000","4,600,000","700,000"
NetIncomeContinuousOperations,"2,101,000,000","1,792,000,000","2,528,000,000","-1,012,000,000","7,285,000,000","1,947,000,000","46,000,000","2,856,000,000","2,609,000,000","3,229,387,000","1,800,961,000","2,389,097,000","1,779,474,000","348,251,000","1,125,639,000","1,082,043,000","778,223,000","447,184,000","249,891,000","90,448,000","48,292,000","10,800,000","2,400,000","900,000"
NetIncome,"5,024,000,000","1,786,000,000","2,530,000,000","-1,016,000,000","7,266,000,000","1,725,000,000","46,000,000","2,856,000,000","2,609,000,000","3,229,387,000","1,800,961,000","2,389,097,000","1,779,474,000","348,251,000","1,125,639,000","1,082,043,000","778,223,000","441,771,000","249,891,000","90,448,000","48,292,000","10,800,000","2,400,000","900,000"
NetIncomeCommonStockholders,"5,024,000,000","1,786,000,000","2,530,000,000","-1,016,000,000","7,266,000,000","1,725,000,000","46,000,000","2,856,000,000","2,609,000,000","3,229,387,000","1,800,961,000","2,389,097,000","1,779,474,000","348,251,000","1,125,639,000","1,082,043,000","778,223,000","441,771,000","249,891,000","90,448,000","48,292,000","10,800,000","2,400,000","900,000"
BasicEPS,,"2.104","2.58","-0.95","6.41","1.43","-0.03","2.2","2.02","2.5","1.38","1.85","1.37","0.26","0.8","0.79","0.295","0.345","0.218","0.085","0.048","0.013","0.002","0"
DilutedEPS,,"2.104","2.55","-0.95","6.35","1.42","-0.03","2.18","1.99","2.46","1.36","1.83","1.36","0.25","0.79","0.78","0.285","0.335","0.213","0.08","0.043","0.01","0.001","0"
BasicAverageShares,,"849,000,000","980,000,000","1,064,000,000","1,133,000,000","1,208,000,000","1,251,000,000","1,295,000,000","1,292,000,000","1,292,775,000","1,305,593,000","1,289,848,000","1,303,454,000","1,358,797,000","1,399,251,000","1,361,708,000","2,638,916,000","1,276,576,000","1,149,984,000","1,075,884,000","1,007,104,000","865,880,000","1,197,480,000","8,640,000,000"
DilutedAverageShares,,"855,500,000","991,000,000","1,064,000,000","1,144,000,000","1,220,000,000","1,251,000,000","1,313,000,000","1,313,000,000","1,312,950,000","1,327,417,000","1,304,981,000","1,312,608,000","1,376,174,000","1,425,472,000","1,393,875,000","2,735,440,000","1,313,314,000","1,171,280,000","1,122,380,000","1,121,384,000","1,087,280,000","2,750,160,000","8,640,000,000"
Ebitda,,"3,199,000,000","3,740,000,000","3,244,000,000","4,558,000,000","3,237,000,000","5,144,000,000","4,966,000,000","4,347,000,000","4,875,029,000","2,837,473,000","2,305,899,000","2,911,415,000","1,214,887,000","1,967,508,000","1,851,644,000","1,318,764,000","788,244,000","430,773,000","230,158,000","81,735,000","28,500,000","11,600,000","1,500,000"
