name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997
	PurchaseOfBusiness,,,"-30,381,000,000","-117,214,000,000","-27,753,000,000",,,"-1,437,000,000","0","-114,006,000,000",,,,"0","-463,038,000,000","-46,572,000,000",,,,,,,,,
	PurchaseOfInvestment,"-3,497,000,000","-3,497,000,000","-1,913,000,000","-16,737,000,000","-1,265,000,000","-1,410,000,000","-4,052,000,000","-5,292,000,000","-9,203,000,000","-18,435,000,000","-44,625,000,000","-14,316,000,000","-73,008,000,000","-124,265,000,000","-13,508,000,000","-14,940,000,000","-12,397,000,000","-53,170,000,000","-22,557,000,000","-39,489,000,000","-13,126,000,000","-29,261,000,000","-39,778,000,000","-29,195,000,000","-31,699,000,000"
	SaleOfInvestment,"1,954,000,000","1,954,000,000","1,637,000,000","2,759,000,000","11,587,000,000","157,197,000,000","66,486,000,000","12,134,000,000","3,876,000,000","9,638,000,000","5,427,000,000","6,931,000,000","4,035,000,000","2,805,000,000","60,630,000,000","13,366,000,000","34,138,000,000","53,469,000,000","13,897,000,000","34,670,000,000",,,,"16,615,000,000","34,643,000,000"
	NetOtherInvestingChanges,"9,686,000,000","9,686,000,000","11,290,000,000","4,574,000,000","-21,265,000,000","-3,224,000,000","-27,508,000,000","-38,099,000,000","-7,097,000,000","-27,083,000,000","-2,328,000,000","-65,780,000,000","732,000,000","-5,614,000,000","-32,174,000,000","-20,040,000,000","-35,306,000,000","-30,546,000,000","-41,394,000,000","-21,693,000,000","93,827,000,000","34,619,000,000","169,404,000,000","78,131,000,000","29,771,000,000"
	InvestingCashFlow,"-122,514,000,000","-122,514,000,000","1,305,434,000,000","-150,987,000,000","-178,929,000,000","653,442,000,000","-190,130,000,000","-246,555,000,000","-196,347,000,000","-377,227,000,000","-214,700,000,000","-252,922,000,000","-335,308,000,000","-322,702,000,000","-712,782,000,000","-303,385,000,000","-243,106,000,000","-189,466,000,000","-147,988,000,000","-325,579,000,000","-176,747,000,000","-293,154,000,000","-280,069,000,000","-300,206,000,000","-280,366,000,000"
ChangeInCashSupplementalAsReported,"-958,547,000,000","-958,547,000,000","786,863,000,000","-174,574,000,000","-267,836,000,000","776,163,000,000","28,026,000,000","-37,829,000,000","-5,136,000,000","-44,535,000,000","-8,609,000,000","-76,344,000,000","95,144,000,000","-60,663,000,000","38,391,000,000","-24,082,000,000","-24,274,000,000","-7,821,000,000","-43,334,000,000","-117,163,000,000","22,358,000,000","-32,515,000,000","-118,183,000,000","35,515,000,000","-98,988,000,000"
BeginningCashPosition,"1,335,520,000,000","1,335,520,000,000","548,657,000,000","707,693,000,000","975,529,000,000","199,366,000,000","171,340,000,000","209,169,000,000","214,305,000,000","258,840,000,000","267,449,000,000","343,793,000,000","248,649,000,000","309,312,000,000","270,921,000,000","295,003,000,000","319,277,000,000","327,098,000,000","370,432,000,000","487,595,000,000","465,237,000,000","497,752,000,000","615,935,000,000","580,420,000,000","679,408,000,000"
EndCashPosition,"376,973,000,000","376,973,000,000","1,335,520,000,000","533,119,000,000","707,693,000,000","975,529,000,000","199,366,000,000","171,340,000,000","209,169,000,000","214,305,000,000","258,840,000,000","267,449,000,000","343,793,000,000","248,649,000,000","309,312,000,000","270,921,000,000","295,003,000,000","319,277,000,000","327,098,000,000","370,432,000,000","487,595,000,000","465,237,000,000","497,752,000,000","615,935,000,000","580,420,000,000"
FreeCashFlow,"-277,316,000,000","-277,316,000,000","-13,382,000,000","-158,267,000,000","-46,572,000,000","-292,695,000,000","42,558,000,000","32,234,000,000","-163,895,000,000","3,838,000,000","144,855,000,000","235,569,000,000","-493,731,000,000","-160,564,000,000","184,767,000,000","184,724,000,000","33,898,000,000","123,535,000,000","22,350,000,000","-215,506,000,000","196,193,000,000","137,434,000,000","-144,748,000,000","-92,987,000,000","-170,995,000,000"
	OperatingCashFlow,"-142,148,000,000","-142,148,000,000","124,855,000,000","41,641,000,000","134,163,000,000","-1,230,000,000","330,442,000,000","286,586,000,000","132,316,000,000","334,997,000,000","374,084,000,000","451,445,000,000","-16,011,000,000","247,128,000,000","561,474,000,000","501,426,000,000","305,533,000,000","322,662,000,000","271,603,000,000","149,165,000,000","453,641,000,000","435,946,000,000","264,947,000,000","272,770,000,000","142,086,000,000"
	CapitalExpenditure,"-135,168,000,000","-135,168,000,000","-138,237,000,000","-199,908,000,000","-180,735,000,000","-291,465,000,000","-287,884,000,000","-254,352,000,000","-296,211,000,000","-331,159,000,000","-229,229,000,000","-215,876,000,000","-477,720,000,000","-407,692,000,000","-376,707,000,000","-316,702,000,000","-271,635,000,000","-199,127,000,000","-249,253,000,000","-364,671,000,000","-257,448,000,000","-298,512,000,000","-409,695,000,000","-365,757,000,000","-313,081,000,000"
	FreeCashFlow,"-277,316,000,000","-277,316,000,000","-13,382,000,000","-158,267,000,000","-46,572,000,000","-292,695,000,000","42,558,000,000","32,234,000,000","-163,895,000,000","3,838,000,000","144,855,000,000","235,569,000,000","-493,731,000,000","-160,564,000,000","184,767,000,000","184,724,000,000","33,898,000,000","123,535,000,000","22,350,000,000","-215,506,000,000","196,193,000,000","137,434,000,000","-144,748,000,000","-92,987,000,000","-170,995,000,000"
