name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
	RepaymentOfDebt,"-494,000,000","-552,000,000","0","0","-312,000,000","-119,000,000","-243,000,000","-1,891,000,000","-366,000,000","-431,000,000","-90,000,000"
	CommonStockIssuance,,,,,,"0","0","1,478,000,000","6,760,000,000","998,000,000","500,000,000"
	RepurchaseOfCapitalStock,"-5,062,000,000","-4,202,000,000","-12,879,000,000","-1,976,000,000",,,,,,,
	NetOtherFinancingCharges,"-2,542,000,000","-2,322,000,000","-3,193,000,000","-3,259,000,000","2,000,000","1,701,000,000","1,796,000,000","-280,000,000","-1,829,000,000","603,000,000","115,000,000"
	CashFlowFromContinuingFinancingActivities,"-8,219,000,000","-7,299,000,000","-15,572,000,000","-5,235,000,000","-310,000,000","1,582,000,000","1,571,000,000","-667,000,000","6,283,000,000","1,198,000,000","781,000,000"
ChangeInCashSupplementalAsReported,"7,571,000,000","9,155,000,000","1,920,000,000","-824,000,000","3,996,000,000","592,000,000","992,000,000","939,000,000","872,000,000","-273,000,000","1,152,000,000"
BeginningCashPosition,"13,998,000,000","10,124,000,000","8,204,000,000","8,903,000,000","4,907,000,000","4,315,000,000","3,323,000,000","2,384,000,000","1,512,000,000","1,785,000,000","633,000,000"
EndCashPosition,"21,674,000,000","19,279,000,000","10,124,000,000","8,079,000,000","8,903,000,000","4,907,000,000","4,315,000,000","3,323,000,000","2,384,000,000","1,512,000,000","1,785,000,000"
FreeCashFlow,"18,823,000,000","21,212,000,000","15,359,000,000","17,483,000,000","11,617,000,000","6,076,000,000","3,626,000,000","2,860,000,000","377,000,000","943,000,000","405,000,000"
	OperatingCashFlow,"33,268,000,000","36,314,000,000","29,274,000,000","24,216,000,000","16,108,000,000","8,599,000,000","5,457,000,000","4,222,000,000","1,612,000,000","1,549,000,000","698,000,000"
	CapitalExpenditure,"-14,445,000,000","-15,102,000,000","-13,915,000,000","-6,733,000,000","-4,491,000,000","-2,523,000,000","-1,831,000,000","-1,362,000,000","-1,235,000,000","-606,000,000","-293,000,000"
	FreeCashFlow,"18,823,000,000","21,212,000,000","15,359,000,000","17,483,000,000","11,617,000,000","6,076,000,000","3,626,000,000","2,860,000,000","377,000,000","943,000,000","405,000,000"
