name,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009,07/31/2008,07/31/2007,07/31/2006,07/31/2005,07/31/2004,07/31/2003,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,07/31/1993,07/31/1992,07/31/1991,07/31/1990,07/31/1989,07/31/1988
			CurrentDebt,"10,191,000,000","5,238,000,000","7,992,000,000","4,160,000,000","3,897,000,000","508,000,000","3,283,000,000","31,000,000","588,000,000","3,096,000,000",,"500,000,000",,,,,,,,,,,,,,,,,,,"100,000",
			AccountsPayable,"2,059,000,000","1,904,000,000","1,385,000,000","1,056,000,000","1,104,000,000","1,032,000,000","1,029,000,000","859,000,000","876,000,000","895,000,000","675,000,000","869,000,000","786,000,000","880,000,000","735,000,000","657,000,000","594,000,000","470,000,000","644,000,000","739,000,000","361,000,000","248,872,000","207,178,000","153,683,000","45,205,000","31,700,000","24,700,000","16,300,000","7,700,000","5,000,000","1,500,000",
			IncomeTaxPayable,"1,149,000,000","1,004,000,000","98,000,000","517,000,000","62,000,000","159,000,000","192,000,000","276,000,000","120,000,000","90,000,000","166,000,000","107,000,000","1,740,000,000","1,744,000,000","1,511,000,000","963,000,000","739,000,000","579,000,000","241,000,000","233,000,000","630,000,000","410,363,000","256,224,000","169,894,000","71,583,000",,,,,,,
			CurrentAccruedExpenses,,,,,,,,,"3,163,000,000","3,129,000,000","2,535,000,000","2,428,000,000","5,441,000,000","4,281,000,000","3,411,000,000","3,556,000,000","3,632,000,000","3,861,000,000","3,611,000,000","2,838,000,000","745,000,000","438,651,000","304,795,000","227,453,000","123,426,000",,,,,,,
			CurrentDeferredRevenue,"10,668,000,000","11,490,000,000","10,821,000,000","10,155,000,000","9,824,000,000","9,478,000,000","9,262,000,000","8,852,000,000","8,025,000,000","7,664,000,000","6,438,000,000","6,197,000,000","5,391,000,000","4,408,000,000","3,854,000,000","3,527,000,000","3,034,000,000","3,143,000,000","3,214,000,000","1,386,000,000","724,000,000","330,000,000","183,268,000","116,229,000","55,984,000",,,,,,,
			OtherCurrentLiabilities,"4,424,000,000","4,413,000,000","4,392,000,000","6,072,000,000","5,687,000,000","5,451,000,000","5,048,000,000","4,785,000,000","4,734,000,000","4,359,000,000","3,841,000,000","3,757,000,000","3,422,000,000","2,765,000,000","2,094,000,000","2,090,000,000","2,457,000,000","2,818,000,000","2,939,000,000","1,521,000,000","543,000,000","339,094,000","168,644,000","102,094,000","41,558,000","173,800,000","95,300,000","62,000,000","18,600,000","8,200,000","7,200,000",
			CurrentLiabilities,"31,712,000,000","27,035,000,000","27,583,000,000","24,911,000,000","23,623,000,000","19,809,000,000","22,192,000,000","17,731,000,000","17,506,000,000","19,233,000,000","13,655,000,000","13,858,000,000","13,358,000,000","11,313,000,000","9,511,000,000","8,703,000,000","8,294,000,000","8,375,000,000","8,096,000,000","5,196,000,000","3,003,000,000","1,766,980,000","1,120,109,000","769,353,000","337,756,000","205,500,000","120,000,000","78,300,000","26,300,000","13,200,000","8,800,000","1,700,000"
		TotalNonCurrentLiabilitiesNetMinorityInterest,"32,510,000,000","38,545,000,000","36,098,000,000","33,156,000,000","30,151,000,000","28,664,000,000","19,871,000,000","22,727,000,000","22,330,000,000","17,612,000,000","15,796,000,000","10,474,000,000","8,492,000,000","8,084,000,000","1,188,000,000","975,000,000","774,000,000","749,000,000","0","1,132,000,000","0","0","0","0","0",,,,"300,000","300,000","300,000","2,600,000"
			LongTermDebt,"14,475,000,000","20,331,000,000","25,725,000,000","24,483,000,000","21,457,000,000","20,401,000,000","12,928,000,000","16,297,000,000","16,234,000,000","12,188,000,000","10,295,000,000","6,393,000,000","6,408,000,000","6,332,000,000",,,,,,,,,,,,,,,,,"200,000",
			NonCurrentDeferredTaxesLiabilities,,,,,,,,,,"1,353,000,000","2,007,000,000",,,,,,,,"0","1,132,000,000",,,,,,,,,"400,000","100,000",,
			NonCurrentDeferredRevenue,"7,799,000,000","8,195,000,000","7,673,000,000","6,317,000,000","5,359,000,000","4,664,000,000","4,161,000,000","4,028,000,000","4,182,000,000","3,419,000,000","2,955,000,000","2,663,000,000","1,646,000,000","1,241,000,000","1,188,000,000","975,000,000","774,000,000","749,000,000",,,,,,,,,,,,,,
			OtherNonCurrentLiabilities,"1,309,000,000","1,434,000,000","1,450,000,000","1,431,000,000","1,459,000,000","1,748,000,000","1,034,000,000","558,000,000","723,000,000","652,000,000","539,000,000","669,000,000","438,000,000","511,000,000","1,188,000,000","975,000,000","774,000,000","749,000,000",,,,"-5,000",,,,,,,"-100,000","200,000","100,000",
			TotalNonCurrentLiabilitiesNetMinorityInterest,"32,510,000,000","38,545,000,000","36,098,000,000","33,156,000,000","30,151,000,000","28,664,000,000","19,871,000,000","22,727,000,000","22,330,000,000","17,612,000,000","15,796,000,000","10,474,000,000","8,492,000,000","8,084,000,000","1,188,000,000","975,000,000","774,000,000","749,000,000","0","1,132,000,000","0","0","0","0","0",,,,"300,000","300,000","300,000","2,600,000"
		TotalLiabilitiesNetMinorityInterest,"64,222,000,000","65,580,000,000","63,681,000,000","58,067,000,000","53,774,000,000","48,473,000,000","42,063,000,000","40,458,000,000","39,836,000,000","36,845,000,000","29,451,000,000","24,332,000,000","21,850,000,000","19,397,000,000","10,699,000,000","9,678,000,000","9,068,000,000","9,124,000,000","8,096,000,000","6,328,000,000","3,003,000,000","1,766,980,000","1,120,109,000","769,353,000","337,756,000","205,500,000","120,000,000","78,300,000","26,600,000","13,500,000","9,100,000","4,300,000"
	StockholdersEquity,"33,571,000,000","43,204,000,000","66,137,000,000","63,586,000,000","59,698,000,000","56,654,000,000","59,120,000,000","51,286,000,000","47,226,000,000","44,267,000,000","38,647,000,000","34,353,000,000","31,480,000,000","23,912,000,000","23,174,000,000","25,826,000,000","28,029,000,000","28,656,000,000","27,120,000,000","26,497,000,000","11,678,000,000","7,106,618,000","4,289,622,000","2,819,622,000","1,378,731,000","848,200,000","475,200,000","245,600,000","127,500,000","69,200,000","7,400,000","500,000"
		CapitalStock,"40,266,000,000","42,820,000,000","45,253,000,000","44,516,000,000","43,592,000,000","41,884,000,000","42,297,000,000","39,271,000,000","38,648,000,000","37,793,000,000","34,344,000,000","33,505,000,000","30,687,000,000","24,257,000,000","22,394,000,000","22,450,000,000","21,116,000,000","20,950,000,000","20,051,000,000","14,609,000,000","5,524,000,000","3,220,205,000","1,763,200,000","888,067,000","362,292,000",,,,,,"2,700,000",
		RetainedEarnings,"-5,903,000,000","1,233,000,000","20,838,000,000","19,396,000,000","16,045,000,000","14,093,000,000","16,215,000,000","11,354,000,000","7,284,000,000","5,851,000,000","3,868,000,000","120,000,000","231,000,000","-617,000,000","506,000,000","3,164,000,000","6,559,000,000","7,733,000,000","7,344,000,000","8,358,000,000","5,856,000,000","3,828,223,000","2,487,058,000","1,777,369,000","959,657,000","620,100,000","318,100,000","146,200,000","61,800,000","18,600,000","5,700,000","500,000"
		GainsLossesNotAffectingRetainedEarnings,"-792,000,000","-849,000,000","46,000,000","-326,000,000","61,000,000","677,000,000","608,000,000","661,000,000","1,294,000,000","623,000,000","435,000,000","728,000,000","562,000,000","272,000,000","274,000,000","212,000,000","354,000,000","-27,000,000","-275,000,000","3,530,000,000","298,000,000","-20,124,000","-10,264,000","-4,662,000","5,849,000",,,,,,,
		StockholdersEquity,"33,571,000,000","43,204,000,000","66,137,000,000","63,586,000,000","59,698,000,000","56,654,000,000","59,120,000,000","51,286,000,000","47,226,000,000","44,267,000,000","38,647,000,000","34,353,000,000","31,480,000,000","23,912,000,000","23,174,000,000","25,826,000,000","28,029,000,000","28,656,000,000","27,120,000,000","26,497,000,000","11,678,000,000","7,106,618,000","4,289,622,000","2,819,622,000","1,378,731,000","848,200,000","475,200,000","245,600,000","127,500,000","69,200,000","7,400,000","500,000"
	TotalAssets,"97,793,000,000","108,784,000,000","129,818,000,000","121,652,000,000","113,481,000,000","105,134,000,000","101,191,000,000","91,759,000,000","87,095,000,000","81,130,000,000","68,128,000,000","58,734,000,000","53,340,000,000","43,315,000,000","33,883,000,000","35,594,000,000","37,107,000,000","37,795,000,000","35,238,000,000","32,870,000,000","14,725,000,000","8,916,705,000","5,451,984,000","3,630,232,000","1,757,279,000","1,053,700,000","595,200,000","323,900,000","154,100,000","82,700,000","16,500,000","4,800,000"
