name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
			OtherCurrentLiabilities,,"4,859,600,000","5,616,300,000",,"1,491,800,000","25,900,000","246,600,000","2,708,000,000",,"820,700,000","437,200,000",,,"46,773,000","28,789,000","57,851,000","111,982,000","114,293,000","17,214,000","26,593,000","71,000,000","30,000,000","54,500,000","500,000","3,000,000",,,"800,000",
			CurrentLiabilities,"11,070,700,000","5,727,900,000","9,848,100,000","7,874,700,000","8,328,300,000","5,018,600,000","3,294,900,000","2,710,600,000","1,839,500,000","820,700,000","1,052,400,000","481,995,000","444,927,000","689,929,000","245,670,000","255,629,000","338,685,000","375,465,000","245,125,000","280,440,000","129,200,000","94,800,000","99,800,000","21,400,000","28,800,000","12,000,000","10,100,000","7,400,000","5,200,000"
		TotalNonCurrentLiabilitiesNetMinorityInterest,"25,432,000,000","30,928,700,000","34,656,700,000","44,911,100,000","50,923,100,000","19,175,000,000","9,893,900,000","7,536,500,000","1,296,300,000","1,724,000,000","1,916,700,000","1,087,307,000","1,177,635,000","1,390,260,000","730,122,000","744,905,000","886,569,000","489,715,000","611,159,000","751,489,000","254,600,000","224,300,000","89,300,000","15,100,000","4,300,000","7,300,000","3,500,000","4,000,000","2,700,000"
			LongTermDebt,"18,116,500,000","22,929,400,000","25,843,500,000","29,970,800,000","40,293,400,000","14,846,300,000","8,517,400,000","6,257,100,000","848,500,000","1,016,100,000","1,150,200,000","824,678,000","899,408,000","1,124,145,000","587,935,000","587,653,000","722,535,000","331,877,000","415,703,000","483,272,000","149,500,000","149,900,000","2,400,000","2,900,000","3,600,000","5,100,000","2,100,000","4,000,000","2,700,000"
			NonCurrentDeferredTaxesLiabilities,"4,363,700,000","5,501,800,000","6,352,400,000","12,969,100,000","7,985,700,000","3,061,900,000","822,900,000","1,035,200,000","279,100,000","441,500,000","615,900,000","227,580,000","178,740,000","203,860,000","125,792,000","140,959,000","143,626,000","151,890,000","186,145,000","255,968,000","87,100,000","54,500,000","36,900,000","12,200,000",,,,,
			NonCurrentDeferredRevenue,"26,600,000","36,100,000","37,900,000","15,700,000","18,200,000","38,800,000","40,100,000","11,300,000","17,000,000","18,200,000","31,900,000","30,092,000",,,,,,,,,,,,,,,,,
			OtherNonCurrentLiabilities,"455,200,000","499,400,000","519,400,000","734,000,000","868,900,000","223,500,000","226,000,000","162,600,000","72,700,000","248,200,000","118,700,000","4,957,000","99,487,000","62,255,000","16,395,000","16,293,000","20,408,000","5,948,000","9,311,000","12,249,000","18,000,000","19,900,000","50,000,000",,"700,000","2,200,000","1,400,000",,
			TotalNonCurrentLiabilitiesNetMinorityInterest,"25,432,000,000","30,928,700,000","34,656,700,000","44,911,100,000","50,923,100,000","19,175,000,000","9,893,900,000","7,536,500,000","1,296,300,000","1,724,000,000","1,916,700,000","1,087,307,000","1,177,635,000","1,390,260,000","730,122,000","744,905,000","886,569,000","489,715,000","611,159,000","751,489,000","254,600,000","224,300,000","89,300,000","15,100,000","4,300,000","7,300,000","3,500,000","4,000,000","2,700,000"
		TotalLiabilitiesNetMinorityInterest,"36,502,700,000","36,656,600,000","44,504,800,000","52,785,800,000","59,251,400,000","24,193,600,000","13,188,800,000","10,247,100,000","3,135,800,000","2,544,700,000","2,969,100,000","1,569,302,000","1,622,562,000","2,080,189,000","975,792,000","1,000,534,000","1,225,254,000","865,180,000","856,284,000","1,031,929,000","383,800,000","319,100,000","189,100,000","36,500,000","33,100,000","19,300,000","13,600,000","11,400,000","7,900,000"
	StockholdersEquity,"58,173,600,000","65,114,100,000","73,821,100,000","76,192,700,000","76,591,400,000","28,331,100,000","9,532,100,000","3,833,800,000","3,563,600,000","3,281,700,000","3,023,100,000","2,108,585,000","1,849,465,000","1,680,388,000","2,104,241,000","2,243,149,000","2,057,346,000","1,798,284,000","1,672,050,000","1,547,969,000","1,054,600,000","750,500,000","565,000,000","382,700,000","289,000,000","111,000,000","91,200,000","19,800,000","16,000,000"
		CapitalStock,"0","0","4,929,700,000","4,929,700,000","4,929,700,000","0","0","400,000","400,000","400,000","400,000","376,000","373,000","369,000","367,000","362,000","357,000","353,000","351,000","348,000","300,000",,,,,,,,
		RetainedEarnings,"991,500,000","7,258,900,000","12,957,200,000","18,342,500,000","3,647,500,000","-198,200,000","1,432,300,000","2,182,700,000","2,085,400,000","1,824,500,000","1,640,100,000","1,418,116,000","1,179,737,000","1,041,638,000","1,485,100,000","1,353,047,000","1,201,714,000","998,850,000","823,054,000","706,693,000","549,000,000","395,900,000","275,000,000","216,000,000","142,700,000","38,700,000","20,000,000","7,800,000","4,200,000"
		GainsLossesNotAffectingRetainedEarnings,"1,207,200,000","1,345,200,000","1,920,700,000","-1,038,400,000","-494,100,000","-465,400,000","90,500,000","36,800,000","-76,500,000","-2,500,000",,"-3,166,000","2,392,000","1,073,000","-4,845,000","9,538,000","14,268,000","1,984,000","57,903,000","82,168,000","107,500,000",,,,,,,,
		StockholdersEquity,"58,173,600,000","65,114,100,000","73,821,100,000","76,192,700,000","76,591,400,000","28,331,100,000","9,532,100,000","3,833,800,000","3,563,600,000","3,281,700,000","3,023,100,000","2,108,585,000","1,849,465,000","1,680,388,000","2,104,241,000","2,243,149,000","2,057,346,000","1,798,284,000","1,672,050,000","1,547,969,000","1,054,600,000","750,500,000","565,000,000","382,700,000","289,000,000","111,000,000","91,200,000","19,800,000","16,000,000"
	TotalAssets,"94,699,100,000","101,787,600,000","118,341,900,000","128,986,300,000","135,840,700,000","52,529,100,000","22,725,900,000","14,103,500,000","6,698,300,000","5,827,300,000","5,992,200,000","3,677,887,000","3,472,027,000","3,760,577,000","3,080,033,000","3,243,683,000","3,282,600,000","2,663,464,000","2,528,334,000","2,579,898,000","1,438,800,000","1,070,000,000","755,000,000","419,600,000","322,100,000","130,300,000","104,800,000","31,200,000","23,900,000"
